BaselineName,Model,Accuracy,AvgTokens
ZeroShot,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,0.100000,51.78
Contextual,deepseek-ai/DeepSeek-R1-Distill-Qwen-1.5B,0.000000,58.68
ZeroShot,Qwen/Qwen2.5-1.5B-Instruct,0.000000,50.78
Contextual,Qwen/Qwen2.5-1.5B-Instruct,0.680000,57.68
ZeroShot,meta-llama/Llama-3.2-1B-Instruct,0.000000,51.78
Contextual,meta-llama/Llama-3.2-1B-Instruct,0.000000,58.68
ZeroShot,nvidia/OpenMath-Nemotron-1.5B,0.020000,50.78
Contextual,nvidia/OpenMath-Nemotron-1.5B,0.000000,57.68
ZeroShot,google/gemma-3-1b-it,0.160000,53.04
Contextual,google/gemma-3-1b-it,0.000000,60.84
